Timestamp (EST),Atlantic - rainRate (in/hr),1-min rain (in),Chem - rainRate (in/hr),1-min rain (in),Golf - rainRate (in/hr),1-min rain (in),rainRate (in/hr),1-min rain (in)
7/19/25 17:32,0.53,0.01,0.57,0.01,2,0.03,0.43,0
7/19/25 17:33,0.47,0.01,0.5,0.01,2,0.02,0.43,0.01
7/19/25 17:34,1.11,0.01,2.36,0.02,0.46,0,0.43,0.01
7/19/25 17:35,1.03,0.02,2.36,0.02,0.46,0.01,0.36,0
7/19/25 17:36,0.97,0.01,0.88,0.01,0.29,0,0.26,0
7/19/25 17:37,0.46,0,0.57,0.01,0.28,0,0.17,0
7/19/25 17:38,0.46,0.01,0.33,0,0.28,0.01,0.14,0
7/19/25 17:39,0.36,0,0.21,0,0.27,0,0.11,0
7/19/25 17:40,0.24,0,0.21,0.01,0.77,0.01,0.1,0
7/19/25 17:41,0.24,0.01,0.18,0,1.91,0.03,0.1,0.01
7/19/25 17:42,0.7,0.01,0.29,0.01,1.75,0.03,0.09,0
7/19/25 17:43,1.67,0.02,1.45,0.02,1.89,0.03,0.09,0
7/19/25 17:44,1.67,0.02,1.45,0.01,2.78,0.01,0.19,0
7/19/25 17:45,1.34,0.02,1.01,0.01,0.32,0,0.57,0.02
7/19/25 17:46,1.26,0.02,1.3,0.02,0.32,0.01,0.47,0
7/19/25 17:47,0.51,0,1.3,0.01,0.29,0,0.27,0
7/19/25 17:48,0.26,0,0.53,0.01,0.2,0,0.19,0
7/19/25 17:49,0.19,0,0.36,0,0.15,0,0.14,0
7/19/25 17:50,0.14,0,0.24,0,0.12,0,0.11,0
7/19/25 17:51,0.11,0,0.17,0,0.1,0,0.1,0
7/19/25 17:52,0.1,0,0.13,0,0.09,0,0.08,0
7/19/25 17:53,0.08,0,0.11,0,0.07,0,0.07,0
7/19/25 17:54,0.08,0.01,0.09,0,0.07,0.01,0.07,0
7/19/25 17:55,0.08,0,0.08,0,0.07,0,0.06,0
7/19/25 17:56,0.08,0,0.07,0,0.07,0,0.05,0
7/19/25 17:57,0.08,0,0.07,0.01,0.07,0,0.05,0
7/19/25 17:58,0.08,0,0.07,0,0.13,0.01,0.05,0
7/19/25 17:59,0.08,0,0.07,0,0.13,0,0.04,0
7/19/25 18:00,0.08,0,0.07,0,0.13,0,0.04,0.01
7/19/25 18:01,0.08,0,0.07,0,0.13,0,0.04,0
7/19/25 18:02,0.08,0.01,0.07,0,0.13,0,0.04,0
7/19/25 18:03,0.07,0,0.07,0,0.12,0,0.04,0
7/19/25 18:04,0.07,0,0.08,0.01,0.12,0.01,0.04,0
7/19/25 18:05,0.07,0,0.08,0,0.11,0,0.04,0
7/19/25 18:06,0.07,0,0.08,0,0.24,0.01,0.04,0
7/19/25 18:07,0.13,0.01,0.08,0,0.24,0,0.04,0
7/19/25 18:08,0.13,0,0.08,0,0.24,0,0.04,0
7/19/25 18:09,0.13,0,0.08,0,0.18,0,0.04,0
7/19/25 18:10,0.13,0,0.1,0.01,0.14,0,0.06,0.01
7/19/25 18:11,0.14,0.01,0.1,0,0.14,0.01,0.06,0
7/19/25 18:12,0.14,0,0.1,0,0.14,0,0.06,0
7/19/25 18:13,0.14,0,0.1,0,0.14,0,0.06,0
7/19/25 18:14,0.14,0,0.17,0.01,0.16,0.01,0.06,0
7/19/25 18:15,0.13,0,0.17,0,0.16,0,0.06,0
7/19/25 18:16,0.13,0.01,0.17,0,0.42,0.01,0.1,0.01
7/19/25 18:17,0.57,0.01,0.17,0.01,0.42,0.01,0.1,0
7/19/25 18:18,0.61,0.01,0.8,0.01,0.4,0,0.33,0.01
7/19/25 18:19,0.73,0.01,0.8,0.01,0.26,0,0.32,0
7/19/25 18:20,0.73,0.01,0.77,0.01,0.26,0.01,0.21,0
7/19/25 18:21,0.35,0,0.57,0.01,0.23,0,0.16,0
7/19/25 18:22,0.24,0,0.29,0,0.22,0,0.13,0
7/19/25 18:23,0.24,0.01,0.29,0.01,0.17,0,0.11,0
7/19/25 18:24,0.18,0,0.23,0,0.13,0,0.11,0.01
7/19/25 18:25,0.34,0.01,0.23,0,0.11,0,0.11,0
7/19/25 18:26,0.34,0,0.24,0.01,0.09,0,0.11,0
7/19/25 18:27,0.23,0,0.24,0,0.08,0,0.11,0
7/19/25 18:28,0.17,0,0.2,0,0.07,0,0.11,0
7/19/25 18:29,0.14,0,0.15,0,0.06,0,0.1,0
7/19/25 18:30,0.11,0,0.12,0,0.06,0,0.09,0
7/19/25 18:31,0.09,0,0.1,0,0.05,0,0.07,0
7/19/25 18:32,0.08,0,0.09,0,0.05,0,0.07,0
7/19/25 18:33,0.07,0,0.08,0,0.04,0,0.06,0
7/19/25 18:34,0.06,0,0.08,0.01,0.04,0,0.05,0
7/19/25 18:35,0.06,0,0.07,0,0.04,0.01,0.05,0
7/19/25 18:36,0.05,0,0.07,0,0.04,0,0.05,0
7/19/25 18:37,0.05,0,0.07,0,0.04,0,0.04,0
7/19/25 18:38,0.04,0,0.07,0,0.04,0,0.04,0
7/19/25 18:39,0.04,0,0.07,0,0.04,0,0.04,0
7/19/25 18:40,0.04,0,0.07,0,0.04,0,0.04,0.01
7/19/25 18:41,0.04,0,0.07,0,0.04,0,0.04,0
7/19/25 18:42,0.04,0.01,0.07,0,0.04,0,0.04,0
7/19/25 18:43,0.04,0,0.06,0,0.04,0,0.18,0.01
7/19/25 18:44,0.04,0,0.06,0.01,0.04,0,0.18,0
7/19/25 18:45,0.04,0,0.06,0,0.04,0,0.23,0.01
7/19/25 18:46,0.13,0.01,0.06,0,0.04,0,0.23,0
7/19/25 18:47,0.13,0,0.2,0.01,0.05,0.01,0.23,0
7/19/25 18:48,0.13,0,0.2,0,0.05,0,0.19,0
7/19/25 18:49,0.13,0,0.2,0,0.05,0,0.15,0
7/19/25 18:50,0.13,0,0.16,0,0.05,0,0.11,0
7/19/25 18:51,0.11,0,0.16,0.01,0.05,0,0.1,0
7/19/25 18:52,0.11,0.01,0.16,0,0.05,0,0.08,0
7/19/25 18:53,0.1,0,0.16,0,0.1,0.01,0.08,0
7/19/25 18:54,0.1,0,0.14,0,0.1,0,0.07,0
7/19/25 18:55,0.1,0,0.12,0,0.1,0,0.07,0.01
7/19/25 18:56,0.1,0,0.1,0,0.1,0,0.06,0
7/19/25 18:57,0.1,0,0.08,0,0.14,0.01,0.06,0
7/19/25 18:58,0.1,0,0.08,0.01,0.14,0,0.06,0
7/19/25 18:59,0.1,0.01,0.08,0,0.31,0.01,0.06,0
7/19/25 19:00,0.09,0,0.28,0.01,0.31,0,0.13,0.01
7/19/25 19:01,0.09,0,0.28,0,0.26,0,0.13,0
7/19/25 19:02,0.24,0.01,0.26,0,0.18,0,0.13,0
7/19/25 19:03,0.24,0,0.19,0,0.18,0.01,0.13,0
7/19/25 19:04,0.22,0,0.19,0.01,0.15,0,0.15,0.01
7/19/25 19:05,0.16,0,0.19,0,0.15,0,0.15,0
7/19/25 19:06,0.13,0,0.19,0,0.15,0,0.15,0
7/19/25 19:07,0.1,0,0.15,0,0.14,0,0.15,0
7/19/25 19:08,0.09,0,0.12,0,0.11,0,0.12,0
7/19/25 19:09,0.08,0,0.1,0,0.09,0,0.1,0
7/19/25 19:10,0.07,0,0.1,0.01,0.09,0.01,0.09,0
7/19/25 19:11,0.06,0,0.09,0,0.09,0,0.09,0.01
7/19/25 19:12,0.06,0,0.09,0,0.09,0,0.09,0
7/19/25 19:13,0.06,0.01,0.09,0,0.09,0,0.09,0
7/19/25 19:14,0.05,0,0.09,0,0.09,0,0.09,0
7/19/25 19:15,0.05,0,0.09,0,0.09,0,0.09,0
7/19/25 19:16,0.05,0,0.09,0,0.09,0,0.09,0
7/19/25 19:17,0.05,0,0.09,0.01,0.09,0.01,0.09,0
7/19/25 19:18,0.05,0,0.09,0,0.08,0,0.08,0
7/19/25 19:19,0.05,0,0.09,0,0.08,0,0.07,0
7/19/25 19:20,0.05,0,0.09,0,0.08,0,0.06,0
7/19/25 19:21,0.05,0,0.09,0,0.08,0,0.06,0
7/19/25 19:22,0.05,0,0.09,0,0.08,0,0.06,0.01
7/19/25 19:23,0.05,0,0.08,0,0.08,0,0.05,0
7/19/25 19:24,0.05,0,0.07,0,0.08,0,0.05,0
7/19/25 19:25,0.05,0.01,0.07,0,0.07,0,0.05,0
7/19/25 19:26,0.05,0,0.07,0.01,0.07,0.01,0.05,0
7/19/25 19:27,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:28,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:29,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:30,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:31,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:32,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:33,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:34,0.05,0,0.06,0,0.07,0,0.05,0
7/19/25 19:35,0.05,0,0.06,0,0.06,0,0.04,0
7/19/25 19:36,0.05,0,0.06,0,0.06,0,0.04,0
7/19/25 19:37,0.05,0,0.05,0,0.05,0,0.04,0
7/19/25 19:38,0.04,0,0.05,0,0.05,0,0.04,0
7/19/25 19:39,0.04,0,0.04,0,0.04,0,0,0
7/19/25 19:40,0.04,0,0.04,0,0.04,0,0,0
7/19/25 19:41,0.04,0,0.04,0,0.04,0,0,0
7/19/25 19:42,0,0,0.04,0,0.04,0,0,0
7/19/25 19:43,0,0,0,0,0,0,0,0
7/19/25 19:44,0,0,0,0,0,0,0,0
7/19/25 19:45,0,0,0,0,0,0,0,0
7/19/25 19:46,0,0,0,0,0,0,0,0
